"flu_cases","country","year","dengue_cases"
1357.4,Mexico,2015,0.150844
1345.1,Mexico,2014,0.193404
1224.3,Mexico,2013,0.228500
1131.4,Mexico,2012,0.153302
952.4,Mexico,2011,0.088846
1144.3,Mexico,2010,0.150923
1135.6,Mexico,2009,0.273615
1164.9,Mexico,2008,0.114346
1365.0,Mexico,2007,0.147462
1067.3,Mexico,2006,0.091283
981.0,Mexico,2005,0.090462
884.2,Mexico,2004,0.073692
945.2,Mexico,2003,0.086549
206.3,Brazil,2015,0.365781
170.3,Brazil,2014,0.131115
166.8,Brazil,2013,0.159808
145.0,Brazil,2012,0.104415
160.5,Brazil,2011,0.169365
172.5,Brazil,2010,0.240846
211.2,Brazil,2009,0.157904
243.0,Brazil,2008,0.185635
256.5,Brazil,2007,0.152750
263.5,Brazil,2006,0.087698
254.7,Brazil,2005,0.051692
249.3,Brazil,2004,0.045769
238.2,Brazil,2003,0.083538
174.0,Brazil,2002,0.073000
200.2,Bolivia,2015,0.013344
174.3,Bolivia,2014,0.017500
175.6,Bolivia,2013,0.010846
189.3,Bolivia,2012,0.028547
208.8,Bolivia,2011,0.041788
226.0,Bolivia,2010,0.025673
279.2,Bolivia,2009,0.199269
317.8,Bolivia,2008,0.028712
371.4,Bolivia,2007,0.050173
371.1,Bolivia,2006,0.020151
389.6,Bolivia,2005,0.028558
425.2,Bolivia,2004,0.028173
501.4,Bolivia,2003,0.075865
151.3,Argentina,2015,0.066188
136.0,Argentina,2014,0.053212
125.6,Argentina,2013,0.081981
116.1,Argentina,2012,0.039283
106.6,Argentina,2011,0.061269
133.6,Argentina,2010,0.127327
152.9,Argentina,2009,0.321904
178.8,Argentina,2008,0.028115
197.4,Argentina,2007,0.107096
169.2,Argentina,2006,0.019000
165.9,Argentina,2005,0.019904
170.1,Argentina,2004,0.029481
194.8,Argentina,2003,0.030370
